FirstYearDelinquency,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
0,NA,NA,NA,0,NA,NA,NA,0
0,148,113,112,0,112,1,1,0
1,200,70,NA,0,NA,NA,400,0
0,378,78,32,0,49,2,400,0
1,37,NA,NA,0,NA,NA,NA,0
1,91,66,7,2,19,2,1,0
0,192,95,NA,0,NA,NA,1,0
0,254,123,40,0,77,2,1,0
0,336,133,NA,0,NA,NA,400,0
0,284,168,NA,0,NA,NA,1,0
0,121,98,68,1,83,1,1,0
0,147,143,40,0,42,1,400,0
0,267,0,NA,0,NA,NA,1,0
0,246,112,112,0,112,0,400,0
0,119,NA,NA,0,NA,NA,NA,1
1,155,118,38,1,78,1,400,0
0,129,16,NA,0,NA,NA,1,0
0,431,132,94,0,113,1,1,0
0,58,17,17,0,17,1,1,0
1,109,39,NA,0,NA,NA,1,0
0,171,119,69,0,74,1,1,0
1,134,NA,NA,NA,NA,NA,NA,0
1,177,126,16,0,66,2,120,0
1,280,NA,NA,NA,NA,NA,NA,1
0,83,NA,NA,NA,NA,NA,NA,0
1,377,103,101,0,102,2,400,0
0,375,224,NA,0,NA,NA,30,0
0,282,142,108,0,125,1,1,0
0,158,90,NA,0,NA,NA,400,0
0,290,347,55,1,55,1,400,0
0,339,81,64,0,64,0,400,0
1,246,221,52,0,89,1,1,0
1,99,92,NA,0,NA,NA,400,0
0,185,109,13,1,61,2,1,0
1,151,147,9,1,47,2,1,0
0,490,247,NA,0,NA,NA,1,0
0,158,NA,NA,0,NA,NA,NA,0
0,326,97,70,2,84,0,400,0
0,156,NA,NA,NA,NA,NA,NA,0
0,335,220,71,2,89,3,400,0
1,204,22,NA,0,NA,NA,400,0
0,91,92,NA,0,NA,NA,400,0
0,34,NA,NA,NA,NA,NA,NA,0
1,228,125,102,1,102,1,1,0
0,147,117,94,0,94,0,1,0
1,244,97,NA,0,NA,NA,400,0
1,216,215,77,0,93,3,400,0
0,298,152,42,0,60,0,1,0
1,NA,NA,NA,NA,NA,NA,NA,0
1,89,86,21,1,43,1,400,0
1,296,107,22,2,48,1,400,0
1,309,263,NA,0,NA,NA,400,0
1,165,120,86,0,86,0,400,0
1,245,239,7,0,29,1,400,1
1,227,NA,NA,1,NA,NA,NA,0
0,13,7,NA,0,NA,NA,1,0
0,374,389,12,0,12,1,30,0
1,50,37,NA,0,NA,NA,120,0
1,224,181,101,0,101,0,400,0
1,90,90,52,0,57,3,1,0
0,203,78,NA,0,NA,NA,400,0
1,22,NA,NA,0,NA,NA,NA,0
0,234,159,49,0,94,0,400,1
0,3,NA,NA,0,NA,NA,NA,0
0,172,NA,NA,0,NA,NA,NA,0
0,99,95,8,0,34,2,30,0
0,155,NA,NA,0,NA,NA,NA,0
0,254,167,46,0,108,2,1,0
0,316,123,76,2,76,0,1,0
1,NA,1,NA,1,NA,NA,1,0
1,311,135,45,0,105,2,400,0
0,181,111,38,0,77,2,1,0
0,235,128,37,0,83,0,1,0
1,308,151,20,1,61,2,60,0
0,174,88,NA,0,NA,NA,400,0
0,281,139,139,1,139,0,1,0
0,50,49,NA,0,NA,NA,1,0
0,18,9,9,0,9,1,1,0
1,92,42,NA,0,NA,NA,1,0
0,220,126,NA,0,NA,NA,1,0
0,NA,4,NA,0,NA,NA,1,0
0,317,199,7,0,7,1,30,0
1,16,15,NA,0,NA,NA,30,0
1,42,NA,NA,0,NA,NA,1,0
1,20,NA,NA,0,NA,NA,NA,0
0,79,82,NA,1,NA,NA,60,0
0,300,238,39,0,39,0,1,0
1,246,222,15,1,62,5,90,0
0,83,83,42,0,42,0,400,0
0,15,NA,NA,0,NA,NA,NA,0
0,102,81,20,2,39,2,30,1
1,157,NA,NA,0,NA,NA,NA,0
0,268,187,NA,0,NA,NA,400,0
0,188,133,30,0,61,1,400,0
0,236,36,NA,0,NA,NA,1,0
1,177,77,29,0,48,1,90,1
0,187,127,NA,0,NA,NA,1,1
1,112,113,NA,0,NA,NA,400,0
0,285,105,NA,1,NA,NA,1,0
0,299,222,15,0,43,3,400,0
0,210,117,117,0,117,1,1,0
1,169,171,66,0,88,1,400,0
0,120,54,NA,0,NA,NA,1,0
0,170,29,NA,0,NA,NA,1,0
0,168,134,88,0,88,0,400,0
0,27,27,NA,1,NA,NA,1,0
1,301,106,NA,0,NA,NA,400,0
1,78,70,NA,0,NA,NA,1,0
1,166,77,NA,1,NA,NA,400,0
0,318,191,83,0,115,2,1,0
0,70,55,NA,0,NA,NA,1,0
1,383,55,NA,0,NA,NA,400,0
1,373,141,30,0,58,1,400,0
0,287,NA,NA,NA,NA,NA,NA,0
1,326,386,13,0,58,1,1,0
0,194,75,NA,0,NA,NA,400,0
1,34,25,NA,0,NA,NA,1,0
0,90,91,NA,1,NA,NA,1,0
0,255,146,24,0,81,2,400,0
0,392,358,120,0,149,2,1,0
1,346,119,83,0,101,1,1,0
1,110,111,NA,0,NA,NA,1,0
0,140,140,NA,0,NA,NA,1,0
0,320,148,148,0,148,1,1,0
0,294,67,67,0,67,0,1,0
0,161,105,105,0,105,0,60,0
0,122,67,12,0,40,0,60,0
0,9,NA,NA,1,NA,NA,NA,0
0,342,317,76,0,76,1,1,0
0,308,238,36,1,77,1,400,0
0,316,249,23,0,74,1,30,0
0,242,178,NA,0,NA,NA,1,0
0,210,122,31,0,77,2,1,0
0,290,83,83,0,83,0,1,1
0,62,63,58,0,58,1,400,0
0,218,92,58,0,58,0,1,0
0,319,59,NA,0,NA,NA,400,0
0,98,65,NA,1,NA,NA,30,1
0,366,130,80,0,98,2,400,0
0,94,67,54,0,54,0,1,0
0,247,125,77,0,89,0,400,0
0,210,161,43,1,95,1,1,0
0,167,93,72,2,72,1,1,0
0,376,227,NA,0,NA,NA,1,0
0,354,149,43,0,96,2,1,0
1,316,315,123,0,123,1,1,0
0,68,66,NA,0,NA,NA,1,0
1,317,131,22,0,54,1,120,0
1,156,78,NA,0,NA,NA,120,0
0,264,235,NA,1,NA,NA,1,0
0,139,131,27,0,79,1,400,1
0,337,342,85,1,98,2,60,1
0,72,73,NA,0,NA,NA,30,0
1,161,NA,NA,NA,NA,NA,NA,0
1,349,132,21,0,26,0,400,0
