VehicleID,CustomerGrade,AuctionPurchaseDate,AuctionPurchaseAmount,AuctionSaleDate,AuctionSaleAmount,VehicleType,Year,Make,Model,Trim,BodyType,AuctionPurchaseOdometer,AutomaticTransmission,DriveType
9466,D,2013-10-30,6315,2015-09-15,3495,Car,2007,Pontiac,G6,GT,Coupe,91953,1,FWD
13266,B,2014-07-03,9955,2015-11-13,6349.14,Car,2012,Mitsubishi,Galant,FE,Sedan,49357,1,FWD
20422,B,2012-02-03,6975,2015-07-08,191,Car,2008,Chevrolet,Cobalt,LS,Sedan,100621,1,NA
32375,B,2012-11-29,6240,2015-02-10,1748.5,Car,2007,Chevrolet,Cobalt,LS,Sedan,96228,1,FWD
7190,B,2014-02-19,7825,2015-05-26,2384.35,Car,2007,Pontiac,G6,Base,Sedan,69519,1,FWD
32024,C,2011-12-15,7725,2015-06-23,1927.14,Van,2007,Mazda,Mazda5,Sport,Mini-Van,86714,1,NA
33673,B,2014-08-07,8225,2015-08-04,3028.65,Car,2011,Chevrolet,Impala,LS Fleet,Sedan,88615,1,FWD
23553,C,2013-05-30,7140,2015-09-03,791,Car,2007,Ford,Fusion,I-4 SE,Sedan,90625,1,FWD
22423,B,2012-08-13,8040,2015-12-09,1142,SUV,2006,Ford,Explorer,XLT,SUV,98535,1,NA
2203,B,2013-07-24,9225,2015-06-17,4615,Car,2006,Ford,Mustang,V6 Standard,Coupe,79563,1,RWD
7341,B,2014-04-07,9785,2015-05-19,4498.5,Car,2009,Nissan,Altima,2.5 S,Sedan,104881,1,FWD
6293,B,2013-07-11,7750,2015-11-03,1207,Car,2007,Nissan,Sentra,2,Sedan,89904,1,FWD
24485,C,2014-01-28,9140,2015-04-14,6559.23,Car,2010,Ford,Fusion,SEL,Sedan,101396,1,AWD
13689,B,2012-05-17,8510,2015-02-25,6157,SUV,2005,Lincoln,Aviator,Luxury,SUV,106396,1,NA
27435,C,2014-03-11,9725,2015-11-25,6354.49,SUV,2006,Toyota,RAV4,Limited,SUV,93865,1,FWD
17736,A,2013-11-12,6740,2015-06-04,3119.86,Van,2006,Chrysler,Town and Country,Touring,Mini-Van,92990,1,FWD
25572,C,2014-09-18,9245,2015-09-22,4871,Car,2011,Dodge,Avenger,Mainstreet,Sedan,69287,1,FWD
35345,C,2014-05-07,6665,2015-12-22,1351.5,SUV,2005,Jeep,Liberty,Limited,SUV,78310,1,4WD
13542,A,2011-12-21,5575,2015-03-18,1202,Van,2005,Pontiac,Montana SV6,1SA,Mini-Van,151152,1,NA
27702,A,2014-12-10,10200,2015-09-23,5998,SUV,2010,Ford,Explorer,XLT,SUV,94274,1,4X2
33304,B,2014-03-11,8040,2015-06-30,2553.67,Car,2007,Mazda,Mazda6,s Touring,Sedan,75364,1,FWD
7559,B,2014-05-22,9900,2015-11-25,5007.52,Car,2011,Dodge,Avenger,Express,Sedan,62904,1,FWD
23218,A,2013-03-07,6885,2015-12-08,2371,Car,2005,Mercury,Grand Marquis,LS Premium,Sedan,82879,1,RWD
4474,C,2011-04-15,7195,2015-04-14,1626,Car,2006,Chevrolet,Cobalt,LS,Sedan,109702,1,NA
9521,C,2013-11-21,7840,2015-10-20,2157,Car,2008,Ford,Taurus X,SEL,Wagon,87792,1,FWD
13756,A,2012-07-03,5710,2015-06-17,1532.81,Van,2007,Chrysler,Town and Country,Base,Mini-Van,134405,1,NA
478,B,2012-03-27,10300,2015-04-01,3453,Car,2004,Cadillac,CTS,Base,Sedan,73633,1,NA
13622,A,2012-03-26,8175,2015-08-12,2722.9,Car,2005,Volkswagen,Jetta,2.5,Sedan,74212,1,NA
30981,C,2013-08-27,9125,2015-01-29,2318.1,Car,2005,Chrysler,300,C,Sedan,96548,1,RWD
